,Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday,StoreType,Assortment,CompetitionDistance,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval,Year,Month,DayOfMonth,WeekOfYear,weekday,MonthPeriod,Holiday,YearlyTerm
328361,418,3,2014-09-24,3489.0,445.0,1,0,No Holiday,0,a,a,1060.0,1,27.0,2011.0,"Feb,May,Aug,Nov",2014,9,24,39,1,2,0,2
1000857,373,2,2013-01-15,2999.0,236.0,1,0,No Holiday,0,d,c,11120.0,1,22.0,2012.0,"Jan,Apr,Jul,Oct",2013,1,15,3,1,1,0,0
425532,388,7,2014-06-15,0.0,0.0,0,0,No Holiday,0,a,a,2260.0,0,0.0,0.0,Not_Av,2014,6,15,24,0,1,0,1
621378,1109,7,2013-12-22,0.0,0.0,0,0,No Holiday,0,c,a,3490.0,1,22.0,2012.0,"Jan,Apr,Jul,Oct",2013,12,22,51,0,2,0,3
573085,761,1,2014-02-03,5651.0,1425.0,1,1,No Holiday,1,a,a,2390.0,0,0.0,0.0,Not_Av,2014,2,3,6,1,0,0,0
225116,1002,7,2015-01-11,0.0,0.0,0,0,No Holiday,0,d,c,1130.0,0,0.0,0.0,Not_Av,2015,1,11,2,0,1,0,0
395926,721,1,2014-07-14,7596.0,720.0,1,1,No Holiday,1,a,c,3590.0,1,22.0,2012.0,"Mar,Jun,Sept,Dec",2014,7,14,29,1,1,0,2
364919,530,6,2014-08-16,7651.0,1308.0,1,0,No Holiday,0,a,c,18160.0,0,0.0,0.0,Not_Av,2014,8,16,33,0,1,0,2
33513,64,3,2015-07-01,10699.0,728.0,1,1,No Holiday,1,d,c,22560.0,1,14.0,2013.0,"Jan,Apr,Jul,Oct",2015,7,1,27,1,0,0,2
941215,941,7,2013-03-10,0.0,0.0,0,0,No Holiday,0,a,a,1200.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct",2013,3,10,10,0,1,0,0
238520,328,1,2014-12-29,4838.0,547.0,1,0,No Holiday,1,a,a,3130.0,0,0.0,0.0,Not_Av,2014,12,29,1,1,2,0,3
650179,920,2,2013-11-26,4522.0,502.0,1,0,No Holiday,0,a,a,850.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",2013,11,26,48,1,2,0,3
824218,1019,7,2013-06-23,0.0,0.0,0,0,No Holiday,0,d,c,2740.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",2013,6,23,25,0,2,0,1
830480,591,1,2013-06-17,6962.0,598.0,1,1,No Holiday,0,a,c,3340.0,1,22.0,2012.0,"Mar,Jun,Sept,Dec",2013,6,17,25,1,1,0,1
150271,862,4,2015-03-19,8556.0,1140.0,1,1,No Holiday,0,a,c,2840.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",2015,3,19,12,1,1,0,0
293551,169,5,2014-10-31,8102.0,820.0,1,0,No Holiday,0,d,a,980.0,1,18.0,2014.0,"Feb,May,Aug,Nov",2014,10,31,44,1,2,0,3
276871,346,2,2014-11-18,6454.0,596.0,1,0,No Holiday,0,a,c,8090.0,0,0.0,0.0,Not_Av,2014,11,18,47,1,1,0,3
343864,1068,1,2014-09-08,3292.0,239.0,1,0,No Holiday,1,d,c,5010.0,1,5.0,2013.0,"Jan,Apr,Jul,Oct",2014,9,8,37,1,1,0,2
805581,222,2,2013-07-09,3769.0,473.0,1,0,No Holiday,1,a,a,2170.0,0,0.0,0.0,Not_Av,2013,7,9,28,1,1,0,2
953935,281,2,2013-02-26,4202.0,448.0,1,0,No Holiday,0,d,c,6970.0,0,0.0,0.0,Not_Av,2013,2,26,9,1,2,0,0
43266,897,2,2015-06-23,2434.0,265.0,1,0,No Holiday,0,c,c,3290.0,1,5.0,2013.0,"Feb,May,Aug,Nov",2015,6,23,26,1,2,0,1
591756,477,5,2014-01-17,5610.0,453.0,1,0,No Holiday,0,d,a,770.0,1,35.0,2010.0,"Jan,Apr,Jul,Oct",2014,1,17,3,1,1,0,0
533240,1056,2,2014-03-11,2471.0,295.0,1,0,No Holiday,0,d,c,5350.0,1,40.0,2012.0,"Jan,Apr,Jul,Oct",2014,3,11,11,1,1,0,0
665445,576,2,2013-11-12,4803.0,759.0,1,0,No Holiday,0,c,a,50.0,0,0.0,0.0,Not_Av,2013,11,12,46,1,1,0,3
653677,1073,6,2013-11-23,5384.0,735.0,1,0,No Holiday,0,a,c,1710.0,1,44.0,2012.0,"Jan,Apr,Jul,Oct",2013,11,23,47,0,2,0,3
560397,338,5,2014-02-14,6311.0,578.0,1,0,No Holiday,0,a,c,1590.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct",2014,2,14,7,1,1,0,0
633098,564,3,2013-12-11,5364.0,442.0,1,0,No Holiday,0,d,c,6540.0,1,14.0,2013.0,"Jan,Apr,Jul,Oct",2013,12,11,50,1,1,0,3
380169,878,4,2014-07-31,11931.0,977.0,1,1,No Holiday,1,d,c,1100.0,0,0.0,0.0,Not_Av,2014,7,31,31,1,2,0,2
352041,789,6,2014-08-30,2879.0,343.0,1,0,No Holiday,0,a,c,9770.0,0,0.0,0.0,Not_Av,2014,8,30,35,0,2,0,2
651051,677,1,2013-11-25,7465.0,655.0,1,0,No Holiday,0,d,a,1740.0,1,45.0,2009.0,"Feb,May,Aug,Nov",2013,11,25,48,1,2,0,3
986524,535,1,2013-01-28,6518.0,893.0,1,0,No Holiday,0,a,a,3570.0,0,0.0,0.0,Not_Av,2013,1,28,5,1,2,0,0
476559,125,3,2014-04-30,5651.0,596.0,1,1,No Holiday,0,a,a,760.0,0,0.0,0.0,Not_Av,2014,4,30,18,1,2,0,1
99291,57,7,2015-05-03,0.0,0.0,0,0,No Holiday,0,d,c,420.0,0,0.0,0.0,Not_Av,2015,5,3,18,0,0,0,1
995525,616,7,2013-01-20,0.0,0.0,0,0,No Holiday,0,a,c,3040.0,1,35.0,2010.0,"Mar,Jun,Sept,Dec",2013,1,20,3,0,1,0,0
434997,933,6,2014-06-07,3900.0,551.0,1,0,No Holiday,0,a,c,6270.0,0,0.0,0.0,Not_Av,2014,6,7,23,0,0,0,1
68035,21,7,2015-05-31,0.0,0.0,0,0,No Holiday,0,c,c,550.0,1,45.0,2009.0,"Jan,Apr,Jul,Oct",2015,5,31,22,0,2,0,1
551791,652,6,2014-02-22,4074.0,481.0,1,0,No Holiday,0,a,a,20390.0,0,0.0,0.0,Not_Av,2014,2,22,8,0,2,0,0
578586,687,3,2014-01-29,6229.0,601.0,1,0,No Holiday,0,d,c,2770.0,0,0.0,0.0,Not_Av,2014,1,29,5,1,2,0,0
96460,571,3,2015-05-06,7352.0,529.0,1,1,No Holiday,0,d,a,2110.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",2015,5,6,19,1,0,0,1
764344,240,4,2013-08-15,5382.0,491.0,1,1,No Holiday,0,a,a,1110.0,0,0.0,0.0,Not_Av,2013,8,15,33,1,1,0,2
899534,515,2,2013-04-16,5636.0,559.0,1,0,No Holiday,0,d,c,11260.0,1,9.0,2011.0,"Feb,May,Aug,Nov",2013,4,16,16,1,1,0,1
510117,233,1,2014-03-31,13396.0,1292.0,1,1,No Holiday,0,a,a,1890.0,0,0.0,0.0,Not_Av,2014,3,31,14,1,2,0,0
636199,320,7,2013-12-08,0.0,0.0,0,0,No Holiday,0,a,c,210.0,0,0.0,0.0,Not_Av,2013,12,8,49,0,1,0,3
347655,11,3,2014-09-03,9351.0,1345.0,1,1,No Holiday,0,a,c,960.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct",2014,9,3,36,1,0,0,2
337216,949,1,2014-09-15,8241.0,695.0,1,1,No Holiday,0,a,a,870.0,0,0.0,0.0,Not_Av,2014,9,15,38,1,1,0,2
748650,156,4,2013-08-29,9479.0,974.0,1,1,No Holiday,0,a,a,2020.0,1,14.0,2011.0,"Mar,Jun,Sept,Dec",2013,8,29,35,1,2,0,2
627425,466,1,2013-12-16,5651.0,1332.0,1,1,No Holiday,0,a,c,3110.0,0,0.0,0.0,Not_Av,2013,12,16,51,1,1,0,3
166734,600,3,2015-03-04,8097.0,612.0,1,1,No Holiday,0,d,c,17340.0,1,9.0,2011.0,"Feb,May,Aug,Nov",2015,3,4,10,1,0,0,0
993669,990,2,2013-01-22,6090.0,526.0,1,1,No Holiday,0,d,a,20930.0,0,0.0,0.0,Not_Av,2013,1,22,4,1,2,0,0
762714,840,6,2013-08-17,4063.0,635.0,1,0,No Holiday,0,a,a,1070.0,0,0.0,0.0,Not_Av,2013,8,17,33,0,1,0,2
